Unnamed: 0,Date,Team,Acquired,Relinquished,Notes
20288.0,2014-02-05,Clippers, Byron Mullens / B.J. Mullens,,activated from IL
20289.0,2014-02-05,Mavericks, Shawn Marion,,activated from IL
20290.0,2014-02-05,Pelicans,, Jrue Holiday,placed on IL with stress fracture in right ankle/tibia (out for season)
20291.0,2014-02-05,Raptors,, Dwight Buycks,placed on IL
20292.0,2014-02-05,Raptors, Austin Daye,,activated from IL
20293.0,2014-02-05,Suns,, Archie Goodwin,placed on IL
20294.0,2014-02-05,Timberwolves, Robbie Hummel,,activated from IL
20295.0,2014-02-05,Wizards,, Glen Rice Jr.,placed on IL
20296.0,2014-02-06,Spurs,, (William) Tony Parker,placed on IL with sore lower back
20297.0,2014-02-06,Warriors,, Andrew Bogut,placed on IL with sore shoulder
20298.0,2014-02-06,Warriors,, David Lee,placed on IL with sore shoulder
20299.0,2014-02-06,Warriors, Nemanja Nedovic,,activated from IL
20300.0,2014-02-06,Warriors, Ognjen Kuzmic / Ognen Kuzmic,,activated from IL
20301.0,2014-02-07,Blazers, Allen Crabbe,,activated from IL
20302.0,2014-02-07,Jazz,, Ian Clark,placed on IL
20303.0,2014-02-07,Jazz,, Malcolm Thomas (b. 1988-11-08),placed on IL
20304.0,2014-02-07,Jazz, Derrick Favors,,activated from IL
20305.0,2014-02-07,Jazz, Jeremy Evans,,activated from IL
20306.0,2014-02-07,Kings,, Marcus Thornton (T.),placed on IL with hip injury
20307.0,2014-02-07,Kings,, Rudy Gay,placed on IL with illness
20308.0,2014-02-07,Pacers,, Orlando Johnson,placed on IL
20309.0,2014-02-07,Pacers, Solomon Hill,,activated from IL
20310.0,2014-02-07,Pistons,, Josh Harrellson,placed on IL
20311.0,2014-02-07,Rockets, Omer Asik,,activated from IL
20312.0,2014-02-07,Thunder,, Andre Roberson,placed on IL
20313.0,2014-02-07,Timberwolves, Corey Brewer,,activated from IL
20314.0,2014-02-08,Spurs, (William) Tony Parker,,activated from IL
20315.0,2014-02-08,Timberwolves,, Kevin Martin,placed on IL with fractured left thumb
20316.0,2014-02-08,Timberwolves, Robbie Hummel,,activated from IL (P)
